sale_order_id,delivery_date,delivery_time,load_weight_in_kg,partner_id,display_name,alamat,zip,partner_latitude,partner_longitude,kota,kecamatan,kelurahan,is_priority
157394,2025-10-08T04:00:00,04:00-05:00,48.65,7083,Baku Sayang Senopati,"Jl. Ciranjang No.11,",12180,-6.23762,106.81096,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,false
157395,2025-10-08T04:00:00,04:00-05:00,28.25,5954,Baku Sayang Pesanggrahan Restaurant,"Jl. Pesanggrahan No.27, RT.1/RW.6,",11610,-6.19462,106.75557,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,false
157388,2025-10-08T04:00:00,04:00-05:00,19.0,7540,Tjin Tjay,"Jl. Pluit Sakti No.31A,",14450,-6.12221,106.79025,JAKARTA UTARA,PENJARINGAN,PLUIT,false
157345,2025-10-08T04:00:00,04:00-05:00,9.5,6587,Bu Lely,Jl. Pringgodani No.15 RT.13/RW.03 Pondok Labu,,-6.31325,106.80804,JAKARTA SELATAN,CILANDAK,,false
157382,2025-10-08T04:00:00,04:00-05:00,23.5,5804,Bintaro Omah Kulina,"Jl. Elang Raya B9/R9 Bintaro, Jl. Titihan,",15229,-6.28525,106.70274,TANGERANG SELATAN,PONDOK AREN,PONDOK PUCUNG,false
157391,2025-10-08T04:00:00,04:00-05:00,10.25,5962,Sentosa Kuliner (Baku Sayang Restaurant),"Jl. Pesanggrahan No.27, RT.1/RW.6,",11610,-6.19462,106.75557,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,false
157357,2025-10-08T04:00:00,04:00-05:00,24.25,8627,Eli Ayam Goreng Bandung,"Jl. Haji Sarmah No. 8,",15227,-6.27509,106.70324,TANGERANG SELATAN,PONDOK AREN,PERIGI LAMA,false
157427,2025-10-08T04:00:00,04:00-05:00,14.0,7909,Dapur Ci Mey Menteng,"Jl. HOS. Cokroaminoto No.65, RT.6/RW.4",10350,-6.19333,106.82905,JAKARTA PUSAT,MENTENG,GONDANGDIA,false
157333,2025-10-08T04:00:00,04:00-05:00,26.0,8019,Roastchick,Perumahan Buana Gardenia Blok E3/27 Kec. Pinang,15144,-6.21936,106.68162,TANGERANG,TANGERANG,,false
157321,2025-10-08T04:00:00,04:00-05:00,10.0,7406,Warteg Aliana Putri,Jl. Baru Rt.06/Rw.09 (patokan gang baru martabak orin),15310,-6.28910,106.66723,TANGERANG SELATAN,SERPONG,LENGKONG GUDANG,false
157379,2025-10-08T04:00:00,04:00-05:00,20.0,5308,Omah Kulina,Ruko Griyaloka Blok RF1 No. 21,15318,-6.30537,106.68142,TANGERANG,SERPONG,RAWA BUNTU,false
157434,2025-10-08T04:00:00,04:00-05:00,11.0,6525,Delinca’s Kitchen,"Golf lake residence, Jl. Victoria Hills 1 No.88",11730,-6.13115,106.73119,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,false
